Distance from start(meters),elevation(meters),accumulated ascent(meters),accumulated descent(meters)
172282.04,386.81,3830.49,-4354
172385.86,388.54,3830.49,-4378.73
172548.76,417.77,3832.22,-4378.73
172675.9,414.99,3861.45,-4378.73
172791,437.45,3861.45,-4381.51
173054.78,488.32,3883.91,-4381.51
173376.43,498.11,3934.78,-4381.51
173482.12,495.29,3944.57,-4381.51
173549.87,486.2,3944.57,-4384.33
173710.42,461.71,3944.57,-4393.42
173904.37,419.14,3944.57,-4417.91
174002.18,400,3944.57,-4460.48
174061.27,392.98,3944.57,-4479.62
174116.5,390.81,3944.57,-4486.64
174215.93,393.63,3944.57,-4488.81
174364.44,386.93,3947.39,-4488.81
174656.91,353.89,3947.39,-4495.51
174914.45,381.41,3947.39,-4528.55
175159.42,447.65,3974.91,-4528.55
175480.62,507.16,4041.15,-4528.55
175631.06,538.6,4100.66,-4528.55
175701.98,550.01,4132.1,-4528.55
175898.71,608.03,4143.51,-4528.55
175953.18,615.77,4201.53,-4528.55
176022.43,639.18,4209.27,-4528.55
176220.39,649.72,4232.68,-4528.55
176449.58,668.5,4243.22,-4528.55
176584.79,676.6,4262,-4528.55
176642.9,678.45,4270.1,-4528.55
176719.47,679.01,4271.95,-4528.55
177238.08,756.71,4272.51,-4528.55
177320.69,757.43,4350.21,-4528.55
177445.64,743.15,4350.93,-4528.55
177528.73,725.43,4350.93,-4542.83
177619.18,718.16,4350.93,-4560.55
177716.05,706.78,4350.93,-4567.82
177786.63,713.02,4350.93,-4579.2
177883.69,722.01,4357.17,-4579.2
178059.02,748.38,4366.16,-4579.2
178243.65,739.01,4392.53,-4579.2
178379.79,744.9,4392.53,-4588.57
178454.74,749.34,4398.42,-4588.57
178628.54,764.02,4402.86,-4588.57
178773.87,788.55,4417.54,-4588.57
178948.13,789.7,4442.07,-4588.57
179044.25,770.14,4443.22,-4588.57
179191.33,783.61,4443.22,-4608.13
179524.52,787.75,4456.69,-4608.13
179611.95,810.73,4460.83,-4608.13
179774.72,822.5,4483.81,-4608.13
179927.13,819.75,4495.58,-4608.13
180128.92,853.48,4495.58,-4610.88
180132.34,853.8,4529.31,-4610.88
180135.76,853.48,4529.63,-4610.88
180220.92,861.73,4529.63,-4611.2
180305.19,874.96,4537.88,-4611.2
180485.87,909.16,4551.11,-4611.2
180610.09,926.44,4585.31,-4611.2
180684.13,936.27,4602.59,-4611.2
180769.46,957.94,4612.42,-4611.2
180902.05,977.71,4634.09,-4611.2
180971.57,970.62,4653.86,-4611.2
181097.4,975.6,4653.86,-4618.29
181195.29,971.72,4658.84,-4618.29
181529.41,947.53,4658.84,-4622.17
181664.85,973.36,4658.84,-4646.36
181816.82,1013.36,4684.67,-4646.36
181939.72,1045.08,4724.67,-4646.36
182124.42,1084.5,4756.39,-4646.36
182378.94,1118.09,4795.81,-4646.36
182511.73,1123.1,4829.4,-4646.36
182677.68,1086.55,4834.41,-4646.36
182761.34,1057.27,4834.41,-4682.91
182843.45,1042.41,4834.41,-4712.19
183040.3,973.31,4834.41,-4727.05
183165.68,933.59,4834.41,-4796.15
183330.8,890.6,4834.41,-4835.87
183508.12,874.8,4834.41,-4878.86
183692.3,909.25,4834.41,-4894.66
183818.01,928.44,4868.86,-4894.66
183931.43,936,4888.05,-4894.66
184014.64,938.15,4895.61,-4894.66
184136.95,925.6,4897.76,-4894.66
184329.15,890.35,4897.76,-4907.21
184448.02,865.13,4897.76,-4942.46
184690.09,785.41,4897.76,-4967.68
184748.3,770,4897.76,-5047.4
184943.18,798.24,4897.76,-5062.81
185039.42,824.48,4926,-5062.81
185099.82,821.3,4952.24,-5062.81
185226.43,803.47,4952.24,-5065.99
185484.95,799.21,4952.24,-5083.82
185810.87,735.87,4952.24,-5088.08
185948.96,697.95,4952.24,-5151.42
186136.94,679.32,4952.24,-5189.34
186487.13,631.65,4952.24,-5207.97
186767.81,571.67,4952.24,-5255.64
186903.53,575.04,4952.24,-5315.62
187023.1,605.78,4955.61,-5315.62
187125.68,605.78,4986.35,-5315.62
187196.15,614.5,4986.35,-5315.62
187262.13,621.01,4995.07,-5315.62
187375.1,604.85,5001.58,-5315.62
187628.3,606.04,5001.58,-5331.78
187788.44,562.91,5002.77,-5331.78
187905.89,555.89,5002.77,-5374.91
188260.53,576.05,5002.77,-5381.93
188460.41,584.98,5022.93,-5381.93
188709.96,585.85,5031.86,-5381.93
188832.61,607.61,5032.73,-5381.93
188967.19,641.74,5054.49,-5381.93
189163.36,693.61,5088.62,-5381.93
189524.03,733.66,5140.49,-5381.93
189676.76,752.5,5180.54,-5381.93
189759.14,757.89,5199.38,-5381.93
189820.81,746.67,5204.77,-5381.93
189908.4,728.31,5204.77,-5393.15
189998.82,715.4,5204.77,-5411.51
190124.92,708.16,5204.77,-5424.42
190251.26,712.6,5204.77,-5431.66
190366.52,726.65,5209.21,-5431.66
190493.74,748.41,5223.26,-5431.66
190584.2,763.55,5245.02,-5431.66
190738.61,802.52,5260.16,-5431.66
190848.15,825.85,5299.13,-5431.66
190976.62,824.8,5322.46,-5431.66
191023.54,817.05,5322.46,-5432.71
191073.83,806.17,5322.46,-5440.46
191178.08,817.31,5322.46,-5451.34
191326.29,855.49,5333.6,-5451.34
191413.27,854.97,5371.78,-5451.34
191611.12,865.51,5371.78,-5451.86
191886.83,916.81,5382.32,-5451.86
192070.62,942.59,5433.62,-5451.86
192234.24,986,5459.4,-5451.86
192398.5,1042.1,5502.81,-5451.86
192580.92,1095.94,5558.91,-5451.86
192717.81,1141.01,5612.75,-5451.86
192839.28,1157.75,5657.82,-5451.86
192932.79,1161.02,5674.56,-5451.86
193040.26,1165.4,5677.83,-5451.86
193125.35,1167.27,5682.21,-5451.86
193246.43,1163.7,5684.08,-5451.86
193288.13,1172.34,5684.08,-5455.43
193349.18,1182.19,5692.72,-5455.43
193422.1,1181.7,5702.57,-5455.43
193510.9,1186.7,5702.57,-5455.92
193629.22,1188.61,5707.57,-5455.92
193715.62,1174.68,5709.48,-5455.92
193764.11,1168.39,5709.48,-5469.85
193790.28,1171.64,5709.48,-5476.14
193876.14,1160.18,5712.73,-5476.14
193979.44,1163.05,5712.73,-5487.6
194050.02,1176.16,5715.6,-5487.6
194128.71,1184.28,5728.71,-5487.6
194237.64,1188.86,5736.83,-5487.6
194360.02,1188.18,5741.41,-5487.6
194454.06,1188.52,5741.41,-5488.28
194502.29,1192.3,5741.75,-5488.28
194575.39,1189.34,5745.53,-5488.28
194632.57,1199.29,5745.53,-5491.24
194717.55,1199.63,5755.48,-5491.24
194793.67,1203.53,5755.82,-5491.24
194886.38,1211.77,5759.72,-5491.24
194953.61,1219.35,5767.96,-5491.24
195027.02,1220.99,5775.54,-5491.24
195114,1228.3,5777.18,-5491.24
195263.21,1249.53,5784.49,-5491.24
195476.86,1298.35,5805.72,-5491.24
195590.81,1309.92,5854.54,-5491.24
195682.39,1311.71,5866.11,-5491.24
195790.52,1268.08,5867.9,-5491.24
195831.28,1245.76,5867.9,-5534.87
195879.61,1235.62,5867.9,-5557.19
195945.25,1212.65,5867.9,-5567.33
195991.85,1195.51,5867.9,-5590.3
196185.86,1133.65,5867.9,-5607.44
196285.71,1099.74,5867.9,-5669.3
196475.02,1043.41,5867.9,-5703.21
196524.47,1032.14,5867.9,-5759.54
196599.37,1017.16,5867.9,-5770.81
196818.83,952.69,5867.9,-5785.79
196879.44,935.45,5867.9,-5850.26
196955.57,922.92,5867.9,-5867.5
197007.26,916.4,5867.9,-5880.03
197086.88,891.81,5867.9,-5886.55
197179.1,900.91,5867.9,-5911.14
197278.88,889.32,5877,-5911.14
197352.17,876.24,5877,-5922.73
197464.83,832.11,5877,-5935.81
197623.08,783.43,5877,-5979.94
197685.77,759.84,5877,-6028.62
197753.92,738.4,5877,-6052.21
197844.3,728.67,5877,-6073.65
197923.08,711.73,5877,-6083.38
198001.53,701.34,5877,-6100.32
198093.42,679.48,5877,-6110.71
198235.66,651.1,5877,-6132.57
198311.49,633.31,5877,-6160.95
198367.04,625.11,5877,-6178.74
198462.25,601.18,5877,-6186.94
198698.9,553,5877,-6210.87
198796.19,530,5877,-6259.05
198845.29,528.52,5877,-6282.05
198930.46,532.94,5877,-6283.53
198976.14,527.48,5881.42,-6283.53
199004.55,517.53,5881.42,-6288.99
199187.06,507.59,5881.42,-6298.94
199305.28,492.97,5881.42,-6308.88
199469.27,481.22,5881.42,-6323.5
199649.01,473.42,5881.42,-6335.25
